Layer,Name,GEOID,APR_2023,EJV_2024,EKW_2024,EVR_2018,HBS_2019-2023,HBU_2019-2023,HCP_2023,HUO_2019-2023,MHC_2019-2023,PGS_2024,RBS_2019-2023,RBU_2019-2023,REX_2019-2023,RFM_2025.02,RNT_2019-2023,SLA-S_2019-2023,TRV_2019-2023,VAL_2019-2023
,,,"Mortgage approval rate (% of mortgages), 2023","Vulnerable Demographic Index (percentile), 2024","Walkability Index, 2024","Eviction rate (% of renter-occupied households), 2018","Severe housing cost burden (% of occupied housing units), 2019-2023","Housing cost burden (% of occupied housing units), 2019-2023","Prevalence of Housing Choice Vouchers (% of renter-occupied units), 2023","Owner occupied (% of occupied housing units), 2019-2023","Median monthly housing costs, 2019-2023","Grocery stores (stores), 2024","Severely rent-burdened (% of renter-occupied housing units), 2019-2023","Rent-burdened (% of renter-occupied housing units), 2019-2023","Race-Ethnicity Diversity Index, 2019-2023","Median home sale price, Feb 2025","Median gross rent, 2019-2023","Seniors living alone, 65 and older (% of seniors), 2019-2023","Mean travel time to work (minutes), 2019-2023","Median home value, 2019-2023"
Zip code,54113,54113,81.25,6.999999999999999,6.88,0.0028408546037216797,1.1564625850340136,14.489795918367346,2.68000007,87.14285714285714,1041.9999999999998,,0.0,28.57142857142857,0.2265484094670311,388000.0,1081.0,17.362924281984334,19.1,235800.0
Zip code,54115,54115,78.9058365353075,19.605132414370086,6.749202628061466,0.773877197190245,7.901284720459047,19.43837911948408,3.4271680512347453,66.02853805920886,1214.0,2.0,12.227204783258596,29.805680119581464,0.2826856439500882,427500.0,1070.9999999999998,25.58739994836045,18.8,307800.0
Zip code,54123,54123,66.42857142857143,17.0,4.88,0.7100000000000001,5.681818181818182,10.227272727272728,,85.22727272727273,700.0,,0.0,0.0,0.2206793184773744,184900.0,,27.27272727272727,23.1,
Zip code,54129,54129,69.25323810883081,17.62184396665023,5.820374468591719,1.037287035608251,17.36111111111111,30.625000000000004,,87.08333333333333,1159.0,,19.892473118279568,48.924731182795696,0.2055129855304981,311000.0,1027.0,13.895781637717125,27.7,240800.0
Zip code,54130,54130,77.79549102845417,12.105194192007499,7.401959014302159,0.9731998625401377,7.405741024025915,19.355709529380004,8.882558630611387,77.72878610636191,1117.0,,12.525252525252526,32.44444444444444,0.1546562045736379,300000.0,969.0,33.89504092441021,20.9,242299.99999999997
Zip code,54136,54136,80.93867458957519,18.575712366837546,8.410962255673967,0.7258205035631322,10.297559344700767,21.06318956870612,,58.77632898696088,998.0,,16.463909164639094,26.84509326845093,0.2280870562825849,248500.0,1038.0,46.327212020033386,19.7,192999.99999999997
Zip code,54140,54140,74.39373816461034,21.652096237175414,8.361119580622013,0.35103022600551004,6.807037784828382,18.863570810498988,4.644848532645286,64.78223247764639,1034.9999999999998,,16.216216216216218,29.4021294021294,0.1927966779738462,245000.0,1008.9999999999999,32.755632582322356,18.8,203999.99999999997
Zip code,54152,54152,75.59055118110236,13.0,4.19,,0.0,28.846153846153843,,42.30769230769231,837.9999999999999,,0.0,35.0,0.4329703635426267,,924.9999999999999,36.666666666666664,30.5,146899.99999999997
Zip code,54155,54155,77.15956131286882,24.9090793221774,6.435391570382005,0.3682694418416795,4.379297864639884,18.458197611292075,1.71000004,64.27795874049946,1346.0,,7.598784194528875,31.81357649442756,0.4870856858611392,437450.0,1254.9999999999998,17.46724890829694,21.1,344899.99999999994
Zip code,54160,54160,64.28571428571429,25.0,5.9,0.86,2.564102564102564,9.401709401709402,,87.17948717948718,872.0,,0.0,6.666666666666667,0.1823060146923782,,809.9999999999999,27.027027027027028,19.0,169000.0
Zip code,54165,54165,75.14528382110423,22.233972323963766,6.526273963045602,0.3970062286603309,8.850457782299085,20.684977958630043,9.22000027,77.72126144455747,1023.9999999999999,1.0,17.80821917808219,27.24505327245053,0.2233576070309685,230000.0,936.9999999999999,22.5,23.5,232200.0
Zip code,54169,54169,78.74564459930313,2.9999999999999996,6.33,3.3,3.906899418121363,15.96009975062344,,97.0906068162926,1433.9999999999998,,0.0,60.0,0.1004837897696543,455400.0,1207.9999999999998,14.255319148936172,27.0,336800.0
Zip code,54170,54170,76.7714678219084,10.306238670011275,3.972881180330244,0.73692354831769,7.38562091503268,19.346405228758172,5.73999977,86.33986928104575,913.0,,9.090909090909092,19.617224880382775,0.0701788385000474,375000.0,831.9999999999999,29.57957957957958,31.0,221200.0
Zip code,54180,54180,78.20326721429255,11.106487148197402,6.515642594843824,0.5189589778158458,3.412698412698413,27.142857142857142,2.588162683783527,80.55555555555556,1526.0,,2.857142857142857,18.77551020408163,0.2135417182138357,373197.0,1272.0,56.52173913043478,21.5,275200.0
Zip code,54313,54313,76.69354543868529,10.859737916916625,6.469289919757397,0.8395140841814958,5.852481909356354,15.602386695442426,7.169211734768498,83.15348482924972,1303.0,3.0,16.50339110776187,39.33685003767898,0.2243591495020198,400000.0,1088.0,20.13755158184319,19.7,294299.99999999994
Zip code,54901,54901,69.70381958649146,49.014603395322816,12.677781029284098,2.1008661875831587,11.273591701483936,25.13326609998559,4.823907185172351,50.42501080535946,958.9999999999999,3.0,17.509444928799766,37.19848881139204,0.3439570039987866,192500.0,931.9999999999999,35.15138501181018,18.2,163999.99999999997
Zip code,54902,54902,74.34451641251255,36.441077593613464,13.261748621895935,1.882866355648258,11.342985521717424,26.090863704443336,4.064005143061927,60.24962556165752,942.9999999999999,1.0,21.27606129113288,44.26023612157749,0.2921727399712591,212500.0,858.9999999999999,40.063244952566286,16.4,163899.99999999997
Zip code,54904,54904,74.89143022675663,11.976818763059757,10.209388400143103,1.5949732515008361,7.299118714359771,20.611715914981858,4.900333579320589,79.98963193364438,1002.9999999999999,1.0,11.865284974093264,40.15544041450777,0.1312401456255046,352450.0,914.9999999999999,22.59596359319351,18.8,258900.0
Zip code,54911,54911,74.58881339320902,34.43613707265066,9.299907283987439,1.0662504120192762,9.764245490121215,28.14737043046674,4.1071953583166705,59.54948935764055,1067.0,2.0,17.248702218027372,46.24823029731005,0.3214903798354089,245000.0,1009.9999999999999,42.61143410852713,17.5,199100.0
Zip code,54913,54913,75.88168441074764,6.496767150922064,7.207288604768533,0.48554818653710946,4.568683565004088,17.569501226492232,1.6621320031140263,69.93049877350776,1387.0,,7.104010876954453,24.405166553365056,0.2170527731931542,450000.0,1158.0,23.64022287078801,19.7,365400.0
Zip code,54914,54914,72.88447186186697,30.061932949050192,8.59745061414649,1.373780670901551,7.690032534753032,19.801833776989056,4.247908656134932,62.64418811002662,1035.9999999999998,5.0,14.469517022961204,32.99683293745051,0.3682845455579102,245000.0,935.9999999999999,29.605834346240663,18.9,210200.0
Zip code,54915,54915,77.65409139309804,24.33987033684554,7.665526510671769,1.1612962926213148,7.7791438470995855,19.498155806415557,4.7472760078349765,72.56063484967028,1174.0,4.0,11.60896130346232,32.44399185336049,0.3078420879813927,307900.0,973.9999999999999,26.64015904572565,20.2,247899.99999999997
Zip code,54922,54922,71.14685344154114,13.75568181787581,3.9670738637266356,0.5370929920798357,7.186858316221765,19.301848049281315,,84.39425051334702,895.9999999999999,,14.473684210526317,23.684210526315788,0.2476825306012599,249000.0,866.9999999999999,35.0,31.5,179899.99999999997
Zip code,54923,54923,69.17809818213274,33.29962937013528,6.432279360474578,1.5779010456681186,8.956014838367778,23.39692633810281,,70.21727609962905,892.0,,16.72597864768683,41.81494661921708,0.2534960196622935,,815.0,29.981261711430356,23.2,180399.99999999997
Zip code,54927,54927,73.99103139013452,7.0,5.57,1.02,5.911330049261084,10.83743842364532,2.93000007,83.2512315270936,1020.9999999999999,,35.294117647058826,52.94117647058824,0.1222356710573158,,1188.0,0.0,17.9,235500.0
Zip code,54929,54929,71.25683436319088,26.093993580121158,6.406033929159739,0.9738699501800027,16.920769807548115,32.41689577605599,,75.25618595351162,886.0,1.0,38.28282828282829,53.63636363636364,0.1404423937104951,,874.9999999999999,29.81015905592612,21.7,157900.0
Zip code,54931,54931,74.82014388489209,4.0,4.22,1.23,0.0,4.45859872611465,,91.71974522292994,774.9999999999999,,0.0,53.84615384615385,0.0,,,9.375,19.7,194200.0
Zip code,54940,54940,71.87560226557055,6.174448921353733,5.31027020570689,1.0858181419639115,8.791208791208792,19.340659340659343,,87.58241758241758,1182.9999999999998,,8.4070796460177,24.336283185840703,0.1668028089988535,405000.0,979.9999999999999,20.1123595505618,27.4,286300.0
Zip code,54942,54942,74.68279474133992,4.7959242525739025,5.689474189865573,0.5363599173295325,3.3623910336239105,13.499377334993772,,88.71731008717309,1477.9999999999998,,7.947019867549669,41.501103752759384,0.1485113717681921,426573.5,1155.9999999999998,24.40087145969499,20.5,336499.99999999994
Zip code,54944,54944,75.29903084874694,12.284754798378408,4.1496769723758336,0.871177105875132,5.173900546133947,18.76976142569704,5.73999977,88.44495544696753,1170.9999999999998,2.0,6.467661691542288,43.28358208955223,0.1014956715855431,440450.0,820.0,23.83545069570478,23.7,318400.0
Zip code,54947,54947,70.62756466645224,2.259092613914749,5.121409823983343,1.0655772440051976,4.211663066954643,13.2829373650108,,92.0086393088553,1014.9999999999999,,0.0,21.62162162162162,0.0654174732766602,302500.0,910.9999999999999,28.641975308641975,21.0,266699.99999999994
Zip code,54952,54952,77.00434094639746,34.928755142415454,7.576486992907368,1.7132834228552942,8.81788604321348,24.70176024026028,2.608739284227998,66.76399432718779,974.9999999999999,2.0,15.386546184738956,43.52409638554217,0.3308098714257151,244950.0,906.0,37.97498229879632,20.1,190000.0
Zip code,54956,54956,73.45634834638024,22.89200276204765,7.396938206986329,1.5964139914690454,7.233254450046302,21.715197036732174,2.733170956595965,69.31783105257743,1138.0,4.0,14.88933601609658,35.68075117370892,0.2385782620647411,290000.0,1005.0,29.267951941883208,18.0,238199.99999999997
Zip code,54961,54961,73.33638266217267,28.744441297698575,5.688316102553247,0.8770460089908017,9.420783645655876,21.09028960817717,3.540888696041198,69.82964224872231,990.0,1.0,16.93958215697346,41.67137210615471,0.1813518374458737,,840.9999999999999,30.532786885245898,28.1,196599.99999999997
Zip code,54963,54963,71.8234804447037,7.634961089269619,5.495390394527373,0.8190474429082037,9.059945504087194,24.216621253405997,2.93000007,81.16485013623979,1051.0,1.0,16.636528028933093,36.88969258589512,0.1015044385554485,251500.0,925.9999999999999,26.141953619114545,25.5,218699.99999999997
Zip code,54964,54964,68.58807295132144,11.940074891161805,4.6706928834823245,1.153702169214826,15.472779369627506,27.22063037249284,,91.40401146131804,1101.0,,50.0,60.0,0.0923962670757544,405000.0,942.0,11.176470588235295,23.5,233199.99999999997
Zip code,54971,54971,71.98426981748847,22.285152678402717,5.852984092085443,1.187240170783254,7.113513513513514,22.335135135135133,2.49000001,70.01081081081081,936.9999999999999,1.0,12.761355443403028,45.42177361211247,0.1662262709817575,215000.0,708.0,36.61914460285132,19.5,182800.0
Zip code,54979,54979,70.87741147308014,9.077081901917689,4.561913288525748,2.343737024638757,5.7324840764331215,17.51592356687898,,84.39490445859873,1441.0,,3.061224489795918,3.061224489795918,0.0672857988110374,430000.0,1351.9999999999998,9.792284866468842,20.8,262300.0
Zip code,54980,54980,73.38709677419355,5.0,4.76,0.56,0.0,0.0,,94.44444444444444,486.99999999999994,,0.0,0.0,0.0,,,83.62068965517241,32.3,164500.0
Zip code,54985,54985,79.24528301886792,41.0,5.1,,,,,,,,,,0.5695906998171472,,,0.0,,
Zip code,54986,54986,73.8325104250221,6.676138575281952,5.439418061803875,0.928972761217461,5.823016964695094,14.121962402567627,2.93000007,83.49381017881706,1140.9999999999998,1.0,9.166666666666666,21.666666666666668,0.0791887127138503,285000.0,905.0,19.05813097866078,23.9,280500.0
