"Layer","Name","GEOID","ACT","CAR","PUB","NVC","TRV","EKW","Index"
"City or town","Potter, WI","5564675",0,100,27.6315789473684,0,100,0,37.9385964912281
"City or town","Combined Locks, WI","5516500",0,100,2.72331154684095,0,100,10.7142857142857,35.5729328768544
"City or town","Nichols, WI","5557375",0,100,0,0,100,0,33.3333333333333
"City or town","Sherwood, WI","5573525",0,100,0,0,100,0,33.3333333333333
"City or town","Waukau, WI","5584200",0,100,0,0,100,0,33.3333333333333
"City or town","Fox Crossing, WI","5526982",0,100,33.1950669082356,0,NA,0,26.6390133816471
"City or town","Harrison, WI","5532790",0,100,26.8481629039398,0,NA,0,25.369632580788
"City or town","Brothertown, WI","5510325",0,100,0,0,NA,0,20
"County","Winnebago County, WI","55139",0,100,62.5099741232093,0,100,19.3545772070745,46.977425221714
"County","Outagamie County, WI","55087",0,100,55.8825173537468,0,100,7.91730861352425,43.9666376612118
"County","Calumet County, WI","55015",0,100,44.2631960522931,0,100,1.53953118792213,40.9671212067025
"Zip code","54985","54985",0,100,NA,NA,100,NA,66.6666666666667
"Zip code","53088","53088",0,100,100,0,100,58.234126984127,59.7056878306878
"Zip code","54911","54911",0,100,87.6968955497782,0,100,47.3012312684929,55.8330211363785
"Zip code","54901","54901",0,100,87.5309839422352,0,100,44.4544494069058,55.3309055581902
"Zip code","54929","54929",0,100,75.3614310218084,0,100,42.8996917437307,53.0435204609232
"Zip code","54923","54923",0,100,69.4616484040019,0,100,29.5398339515987,49.8335803926001
"Zip code","54902","54902",0,100,67.1899045860265,0,100,29.3351639207855,49.4208447511353
"Zip code","54136","54136",0,100,30.0213675213675,0,100,63.7516716817118,48.9621732005132
"Zip code","54107","54107",0,100,80.9017223910841,0,100,8.11258278145695,48.1690508620902
"Zip code","54961","54961",0,100,71.501272264631,0,100,11.3429869392391,47.1407098673117
"Zip code","54180","54180",0,100,60.655737704918,0,100,15.3439153439153,45.9999421748056
"Zip code","54922","54922",0,100,68.3473389355742,0,100,7.51197809719371,45.9765528387947
"Zip code","54971","54971",0,100,62.5891387822271,0,100,12.6576576576577,45.8744660733141
"Zip code","53042","53042",0,100,62.171564588483,0,100,8.94733734797496,45.1864836560763
"Zip code","53061","53061",0,100,53.5523205176061,0,100,17.411737734984,45.1606763754317
"Zip code","54952","54952",0,100,48.76013022096,0,100,21.5087177775924,45.0448079997587
"Zip code","54130","54130",0,100,54.386646800976,0,100,13.0935241009028,44.5800284836465
"Zip code","54165","54165",0,100,64.4512290590261,0,100,0,44.075204843171
"Zip code","54956","54956",0,100,56.1716804495759,0,100,5.05281750523031,43.537416325801
"Zip code","54914","54914",0,100,51.0555425722521,0,100,9.44493739524795,43.41674666125
"Zip code","54110","54110",0,100,58.9616402116402,0,100,0,43.1602733686067
"Zip code","53014","53014",0,100,57.8314212874442,0,100,0,42.9719035479074
"Zip code","54140","54140",0,100,56.347438752784,0,100,0,42.724573125464
"Zip code","54129","54129",0,100,53.0982905982906,0,100,0,42.1830484330484
"Zip code","54123","54123",0,100,52.1303258145363,0,100,0,42.0217209690894
"Zip code","54115","54115",0,100,50.8195300700686,0,100,0,41.8032550116781
"Zip code","54964","54964",0,100,50.6944444444444,0,100,0,41.7824074074074
"Zip code","53020","53020",0,100,48.7928348909657,0,100,0.269171610635025,41.5103344169335
"Zip code","54913","54913",0,100,48.176655208489,0,100,0,41.3627758680815
"Zip code","54904","54904",0,100,34.5544944928026,0,100,13.4482460687748,41.3337900935962
"Zip code","54106","54106",0,100,47.8776529338327,0,100,0,41.3129421556388
"Zip code","54915","54915",0,100,39.7091066515843,0,100,8.11165753883983,41.303460698404
"Zip code","54927","54927",0,100,46.6426858513189,0,100,0,41.1071143085532
"Zip code","53049","53049",0,100,39.1322662173547,0,100,7.18510786360473,41.0528956801599
"Zip code","54963","54963",0,100,43.5630926331145,0,100,0,40.5938487721858
"Zip code","54170","54170",0,100,40.014367816092,0,100,0,40.0023946360153
"Zip code","54947","54947",0,100,36.6609540131391,0,100,0,39.4434923355232
"Zip code","54986","54986",0,100,34.7284504235177,0,100,0,39.1214084039196
"Zip code","54944","54944",0,100,30.8740951221162,0,100,0,38.479015853686
"Zip code","54940","54940",0,100,30.6592039800995,0,100,0,38.4432006633499
"Zip code","54942","54942",0,100,29.4295544087454,0,100,0,38.2382590681242
"Zip code","54160","54160",0,100,27.6315789473684,0,100,0,37.9385964912281
"Zip code","54979","54979",0,100,22.8310502283105,0,100,0,37.1385083713851
"Zip code","54155","54155",0,100,19.2851632810491,0,100,0,36.5475272135082
"Zip code","54313","54313",0,100,17.2141730024387,0,100,0,36.2023621670731
"Zip code","54113","54113",0,100,2.72331154684095,0,100,10.7142857142857,35.5729328768544
"Zip code","54152","54152",0,100,0,0,100,0,33.3333333333333
"Zip code","54169","54169",0,100,0,0,100,0,33.3333333333333
"Zip code","54931","54931",0,100,0,0,100,0,33.3333333333333
"Zip code","54980","54980",0,100,0,0,100,0,33.3333333333333
"County","Winnebago County, WI","55139",0,100,62.5099741232093,0,100,19.3545772070745,46.977425221714
"County","Outagamie County, WI","55087",0,100,55.8825173537468,0,100,7.91730861352425,43.9666376612118
"Region counties","Tri-County","fox-valley",NA,NA,57.5196711117083,0,100,12.0367296870578,42.3891001996915
"County","Calumet County, WI","55015",0,100,44.2631960522931,0,100,1.53953118792213,40.9671212067025
