Layer,Name,GEOID,Population,Longitude,Latitude,ACT_2019-2023,CAR_2019-2023,EKW_2024,NVC_2019-2023,PUB_2019-2023,TRV_2019-2023
,,,,,,"Active transportation to work (% of workers 16 years and older), 2019-2023","Drive alone to work (% of workers 16 years and older), 2019-2023","Walkability Index, 2024","No vehicle available (% of households), 2019-2023","Public transportation to work (% of workers 16 years and older), 2019-2023","Mean travel time to work (minutes), 2019-2023"
Census tract,Tract 9400,55087940000,4579,-88.24010610,44.48358140,1.11164813919768,83.76027066215563,4.44,2.0775623268698062,0.0,21.8
Census tract,Tract 1,55139000100,2895,-88.52510850,44.01240980,3.1446540880503147,73.39622641509433,14.18,10.018214936247723,3.1446540880503147,21.5
Census tract,Tract 2,55139000200,2612,-88.52435330,44.02093230,14.33628318584071,65.66371681415929,14.51,27.013832384052073,7.52212389380531,19.9
Census tract,Tract 3,55139000300,4120,-88.50805740,44.04461500,1.7915309446254073,70.03257328990227,12.28,7.367149758454106,0.6514657980456027,24.3
Census tract,Tract 4,55139000400,3047,-88.53541550,44.04288200,2.5602409638554215,78.23795180722891,15.83,7.132132132132132,0.7530120481927711,24.6
Census tract,Tract 5.01,55139000501,2838,-88.54130540,44.01922470,11.508425811755036,80.27127003699137,14.18,11.212121212121213,0.7809288943690916,13.4
Census tract,Tract 5.02,55139000502,3424,-88.53582110,44.02763920,0.7425742574257426,88.36633663366337,15.31,8.113590263691684,0.0,16.3
Census tract,Tract 7,55139000700,4777,-88.55024110,44.02651430,27.68192048012003,55.66391597899475,14.51,3.4688995215311005,0.7876969242310577,13.4
Census tract,Tract 8,55139000800,3131,-88.55424860,44.03568970,4.0588235294117645,76.29411764705883,13.6,4.0787623066104075,2.235294117647059,22.1
Census tract,Tract 9,55139000900,3389,-88.56062390,44.04741160,0.0,75.17639512508018,12.1,7.432432432432432,0.0,16.8
Census tract,Tract 10,55139001000,2620,-88.57396800,44.03126290,0.9762900976290098,74.33751743375174,14.75,12.981904012588512,0.9762900976290098,14.7
Census tract,Tract 11,55139001100,4255,-88.57105580,44.01976680,3.802083333333333,77.34375,14.67,12.0,2.4479166666666665,15.2
Census tract,Tract 12,55139001200,2054,-88.55137610,44.01562130,1.6683022571148185,87.14425907752698,15.92,5.125284738041002,0.0,13.9
Census tract,Tract 13,55139001300,2699,-88.56960900,44.00445510,5.029427501337614,75.86944890315677,13.56,0.6923076923076923,0.9630818619582664,14.2
Census tract,Tract 14,55139001400,3866,-88.56012580,43.99128250,10.648423557406304,80.60678167757287,12.58,9.48733058338244,0.0,13.7
Census tract,Tract 15,55139001500,3092,-88.53711230,43.99781940,5.50561797752809,84.71910112359551,13.9,2.3238925199709515,0.7865168539325843,15.4
