Layer,Name,GEOID,Population,EDA_2019-2023,EDB_2019-2023,EDC_2019-2023,EDE_2019-2023,EDG-X341_2019-2023
,,,,"9th grade education rate (% of residents), 2019-2023","High school graduation rate (% of residents), 2019-2023","Any higher education rate (% of residents), 2019-2023","College graduation rate (% of residents), 2019-2023","Preschool enrollment, 3-4 years (% of toddlers ages 3-4), 2019-2023"
Census tract,Tract 5.02,55139000502,3424,100.0,95.99813866914845,56.44485807352256,18.008375988832015,0.0
Census tract,Tract 7,55139000700,4777,94.95412844036696,84.63302752293578,32.11009174311927,12.385321100917432,
Census tract,Tract 8,55139000800,3131,96.6512702078522,94.28406466512702,70.03464203233256,33.660508083140876,0.0
Census tract,Tract 9,55139000900,3389,97.65690376569036,92.00836820083684,48.03347280334728,21.04602510460251,8.88888888888889
Census tract,Tract 10,55139001000,2620,98.74643874643874,95.3846153846154,68.03418803418803,35.8974358974359,32.55813953488372
Census tract,Tract 11,55139001100,4255,97.7930535455861,90.70188133140375,55.933429811866866,25.506512301013025,0.0
Census tract,Tract 12,55139001200,2054,95.71026722925455,90.084388185654,53.51617440225035,22.644163150492265,54.54545454545454
Census tract,Tract 13,55139001300,2699,99.61593855016802,96.9755160825732,53.81661065770523,15.55448871819491,0.0
Census tract,Tract 14,55139001400,3866,98.79518072289156,92.81124497991968,53.29317269076306,21.606425702811244,65.76576576576578
Census tract,Tract 15,55139001500,3092,99.4313210848644,95.75678040244968,59.186351706036746,28.652668416447945,20.161290322580644
Census tract,Tract 16,55139001600,4154,98.27483640690066,90.60083283759668,54.31290898274837,19.095776323616896,0.0
Census tract,Tract 17,55139001700,5336,97.3823373876256,87.96932839767318,47.408778424114224,22.263352723426756,29.292929292929298
Census tract,Tract 18.01,55139001801,5446,100.0,98.40748230535895,72.09302325581395,50.30333670374115,37.0
Census tract,Tract 18.03,55139001803,6075,99.735503560529,96.5818921668362,71.69888097660224,43.05188199389624,43.97590361445783
Census tract,Tract 18.04,55139001804,4725,99.27989981214778,93.23731997495304,71.4151534126487,48.15278647463995,24.324324324324326
Census tract,Tract 19,55139001900,5332,99.4700139470014,95.78800557880056,62.62203626220363,35.36959553695955,55.172413793103445
Census tract,Tract 20.01,55139002001,3105,98.643216080402,94.67336683417086,65.17587939698493,31.60804020100503,5.88235294117647
Census tract,Tract 20.02,55139002002,4204,99.78035770316912,97.83495450266707,64.26106055851898,25.792281142139945,18.787878787878785
Census tract,Tract 21,55139002100,3608,98.94314868804663,92.60204081632652,46.93877551020408,17.20116618075802,26.229508196721312
Census tract,Tract 22.01,55139002201,5134,99.59677419354838,97.71505376344086,68.01075268817203,32.876344086021504,52.066115702479344
Census tract,Tract 22.02,55139002202,2997,99.7875053123672,96.60008499787506,58.5635359116022,25.116872078198043,44.26229508196721
Census tract,Tract 23,55139002300,5691,99.81541301338255,98.77711121365944,72.4042455006922,40.6783571758191,33.33333333333333
Census tract,Tract 24.01,55139002401,5045,95.4349698535745,93.9420040195234,65.97760551248923,37.06574791846109,42.42424242424242
Census tract,Tract 24.02,55139002402,5657,97.7479892761394,94.66487935656836,74.23592493297588,48.8739946380697,46.42857142857143
Census tract,Tract 25,55139002500,4876,99.40513462742643,97.68315591734502,63.7132122730119,31.99749530369443,29.411764705882355
Census tract,Tract 26.01,55139002601,3918,98.23867721063982,92.70309130122214,58.5549964054637,19.194823867721063,20.967741935483872
Census tract,Tract 26.02,55139002602,4585,98.88961463096015,91.70476812540824,57.28282168517309,19.497060744611368,21.428571428571427
Census tract,Tract 27,55139002700,2426,97.26027397260276,95.13462446858765,67.7846008502598,24.893717524799243,22.22222222222222
Census tract,Tract 28,55139002800,4569,95.73011734028684,90.8735332464146,54.79139504563233,16.52542372881356,25.555555555555554
Census tract,Tract 29,55139002900,2212,99.01129943502823,96.53954802259888,51.34180790960452,16.454802259887007,62.5
Census tract,Tract 30,55139003000,1641,99.54510993176648,92.7975739196361,63.68460955269143,30.17437452615618,23.52941176470588
Census tract,Tract 31,55139003100,2046,99.84532095901004,97.06109822119105,81.7478731631864,54.91105955143078,100.0
Census tract,Tract 32,55139003200,2353,99.18952618453864,95.94763092269328,73.75311720698254,45.82294264339152,33.33333333333333
Census tract,Tract 33,55139003300,2608,97.97421731123389,92.3572744014733,59.99079189686925,22.69797421731123,18.51851851851852
Census tract,Tract 34,55139003400,4259,98.87936717205012,95.02307185234017,55.83388266315096,20.53394858272907,27.87878787878788
Census tract,Tract 35,55139003500,2871,96.21095750128008,89.65693804403482,52.43215565796211,13.927291346646186,55.55555555555556
Census tract,Tract 36,55139003600,4191,99.4306049822064,98.0782918149466,81.53024911032028,57.29537366548043,68.13186813186813
Census tract,Tract 37.01,55139003701,3813,99.91813344248874,96.39787146950472,68.48137535816619,25.17396643471142,18.30985915492958
Census tract,Tract 37.03,55139003703,6371,100.0,97.12347988774556,73.38634237605238,41.043030869971936,32.91139240506329
Census tract,Tract 37.04,55139003704,3663,99.85157699443413,96.25231910946196,69.68460111317253,44.7495361781076,0.0
