"Layer","Name","GEOID","EDA","EDB","EDC","EDE","EDG","Index"
"Census tract","Tract 23","55139002300",95.3853253345638,93.8855560682972,69.5921781264421,58.3542092425341,29.9019607843137,69.4238459112302
"Census tract","Tract 37.03","55139003703",100,85.6173994387278,71.6382132834425,59.005412267807,29.2814594192107,69.1084968818376
"Census tract","Tract 111.04","55087011104",72.8470310656705,74.0537750688164,52.1226569668371,39.7709398348407,100,67.7588805872329
"Census tract","Tract 19","55139001900",86.7503486750351,78.9400278940028,48.8188633193863,49.0149930264993,75.095785440613,67.7240036711073
"Census tract","Tract 24.02","55139002402",64.5665773011617,72.9054959785523,73.4081769436997,72.9892761394102,49.1596638655462,66.605838045674
"Census tract","Tract 120","55087012000",100,89.4506369426752,58.7861597664544,53.4605323020928,29.9019607843137,66.3198579591072
"Census tract","Tract 32","55139003200",79.7381546134659,79.7381546134664,72.402327514547,67.5409690060563,29.9019607843137,65.8643133063699
"Census tract","Tract 113","55087011300",79.07949790795,90.847280334728,77.510460251046,50.1569037656904,27.4009603841537,64.9990205287136
"Census tract","Tract 101","55087010100",93.7382592360681,75.8922980588604,41.368581715717,33.6685973700689,79.4685990338164,64.8272670829062
"Census tract","Tract 125.06","55087012506",90.0652852682374,87.6525688333807,66.2923408080235,51.6078017923036,26.9489723600284,64.5133938123947
"Census tract","Tract 116","55087011600",69.5341949380721,73.4349757673668,47.9326534733441,45.4336631663974,85.9708193041526,64.4612613298666
"Census tract","Tract 207","55015020700",75.4070556309362,88.2971506105834,81.8521031207598,76.5773405698779,0,64.4267299864315
"Census tract","Tract 111.03","55087011103",47.7821083890126,53.1226800296956,66.7641054194506,53.5899883338636,93.9236111111111,63.0364986566267
"Census tract","Tract 203.08","55015020308",79.1246760725596,60.7201986754966,71.7757222382186,59.7548434864876,41.3551401869159,62.5461161319357
"Census tract","Tract 121.01","55087012101",91.0365058670145,74.0629074315515,34.7376140808344,24.380704041721,85.4280510018215,61.9291564845886
"Census tract","Tract 126.02","55087012602",96.5809628008749,89.8796498905908,53.8019693654267,47.3861460612691,21.656050955414,61.8609558147151
"Census tract","Tract 37.04","55139003704",96.2894248608531,81.2615955473098,63.9262523191094,65.6241717466207,0,61.4202888947786
"Census tract","Tract 133","55087013300",90.9248737373741,82.2443181818182,61.0256207912458,55.1869137806638,17.6795580110497,61.4122569004303
"Census tract","Tract 115.01","55087011501",52.3671896504267,61.8651940545005,55.4311175337187,47.0375722543353,88.3597883597884,61.0121723705539
"Census tract","Tract 206","55015020600",77.7388019427949,78.2784673502429,25.3963167835942,33.3395169994603,82.0261437908497,59.3558493733884
"Census tract","Tract 18.04","55139001804",81.9974953036944,63.9832498434565,67.5315696096848,71.7014044189999,10.8108108108108,59.2049059973293
"Census tract","Tract 107","55087010700",62.344527363184,73.4064054726367,58.7401533996683,46.0276741293532,52.5815217391304,58.6200564207945
"Census tract","Tract 22.02","55139002202",94.68763280918,83.0004249893753,36.1360497237569,32.9951126221844,45.9739633558341,58.5586367000662
"Census tract","Tract 25","55139002500",85.1283656856609,88.4157795867251,51.4858589021081,43.7460864120225,23.5294117647059,58.4611004702445
"Census tract","Tract 111.01","55087011101",85.590778097983,78.5302593659942,40.1747118155619,31.6192363112392,55.7412790697674,58.3312529321092
"Census tract","Tract 10","55139001000",72.8869895536562,76.923076923077,60.4878917378917,49.8397435897436,28.7619699042408,57.7799343417219
"Census tract","Tract 114","55087011400",55.4029304029303,61.9505494505495,46.3770604395604,42.5137362637363,79.6296296296296,57.1747812372812
"Census tract","Tract 5.01","55139000501",100,87.9324215607402,53.1694153928667,44.4086886564763,0,57.1021051220166
"Census tract","Tract 105.01","55087010501",48.0208333333333,56.25,70.9722222222222,63.4523809523809,39.3896268184693,55.6170126652812
"Census tract","Tract 37.01","55139003701",97.9533360622185,81.9893573475236,61.4195319961796,33.0843225542366,0,54.8893095920316
"Census tract","Tract 29","55139002900",75.2824858757059,82.6977401129944,18.9030131826742,16.1370056497175,79.1666666666667,54.4373822975517
"Census tract","Tract 129.02","55087012902",62.958435207824,79.9161718477122,20.7125392944464,30.588543485854,77.2727272727273,54.2896834217128
"Census tract","Tract 20.02","55139002002",94.5089425792279,89.1747725133354,52.6272094969145,34.0504392845937,0,54.0722727748143
"Census tract","Tract 102","55087010200",51.9600812716623,56.7250806740767,57.3151966057129,45.6839368949444,57.4924698795181,53.8353530651829
"Census tract","Tract 24.01","55139002401",49.1171403962102,68.3875251220212,56.2033448176859,51.9031212829662,43.270944741533,53.7764152720833
"Census tract","Tract 115.02","55087011502",56.5685290509646,68.8210940113751,67.6292238206758,58.3616116235721,15.4362416107383,53.3633400234652
"Census tract","Tract 124","55087012400",49.3181303757356,66.3563829787235,42.2660140334993,44.3950882752377,63.9039855072463,53.2479202340885
"Census tract","Tract 14","55139001400",73.293172690763,61.320281124498,22.1552878179384,27.5100401606426,80.980980980981,53.0519525549646
"Census tract","Tract 205","55015020500",74.022346368715,67.3433758978453,21.3443291655582,19.1606810321894,76.984126984127,51.770971889687
"Census tract","Tract 30","55139003000",88.6277482941619,61.2348369977256,51.4262699014405,40.897460197119,8.8235294117647,50.2019689604423
"Census tract","Tract 204","55015020400",77.1515613099769,84.958111195735,46.1467060167555,22.6009139375476,19.2307692307692,50.0176123381569
"Census tract","Tract 121.02","55087012102",66.0976143576275,67.2644451739988,50.9589078572992,35.762065003283,22.7848101265823,48.5735685037582
"Census tract","Tract 20.01","55139002001",72.0268006700167,72.9585427135679,54.5330820770519,43.1375628140704,0,48.5311976549414
"Census tract","Tract 15","55139001500",85.7830271216098,78.7839020122484,38.0823490813648,38.5197944006999,0.40322580645161,48.3144596844749
"Census tract","Tract 106.02","55087010602",56.5920398009951,71.9682835820895,61.396144278607,46.8633395522388,3.33333333333334,48.0306281094527
"Census tract","Tract 122","55087012200",92.3488905891354,60.8215378729916,21.7036470288192,17.0811017597552,46.9341974077767,47.7778749316956
"Census tract","Tract 8","55139000800",55.4272517321017,70.5254041570439,64.6555042340262,46.3445438799076,0,47.3905408006159
"Census tract","Tract 128","55087012800",66.7759773662551,72.3717206790123,20.7175925925926,23.1288580246914,53.0689461883408,47.2126189701784
"Census tract","Tract 27","55139002700",60.502283105023,75.6731223429382,59.9679184380413,32.6464336324988,5.55555555555555,46.8690626148114
"Census tract","Tract 5.02","55139000502",100,79.9906933457422,29.515181479758,20.02093997208,0,45.9053629595161
"Census tract","Tract 3","55139000300",59.285622675388,56.7117160446326,55.1806784660767,57.032924751278,0,45.642188387475
"Census tract","Tract 1","55139000100",72.426886411375,76.7329132331556,46.8659112942317,31.0136936500242,0,45.4078809177573
"Census tract","Tract 34","55139003400",73.994726433751,75.1153592617008,27.6058833223467,25.8342946605142,19.6969696969697,44.4494466750565
"Census tract","Tract 127","55087012700",57.33200560596,62.6839455631777,25.5912535959283,31.1614848417792,45.4782847718527,44.4493948757396
"Census tract","Tract 123","55087012300",100,44.7981366459627,14.7256728778468,32.327251552795,29.9019607843137,44.3506043721837
"Census tract","Tract 12","55139001200",49.5472925457102,46.1849507735584,22.5269573370839,29.1315049226442,73.5795454545454,44.1940502067084
"Census tract","Tract 13","55139001300",90.3984637542006,84.877580412866,23.0276844295087,13.8862217954873,0,42.4379900784125
"Census tract","Tract 108","55087010800",51.2820512820513,45.9790209790209,65.7124125874126,48.9291958041958,0,42.3805361305361
"Census tract","Tract 131","55087013100",71.1211909746453,62.489823214701,38.3424924401024,32.2400558269365,0,40.838712491277
"Census tract","Tract 35","55139003500",51.757979177334,44.4039085168117,20.7202594299369,9.81822836661546,75.3086419753086,40.4018034932013
"Census tract","Tract 201","55015020100",70.3087998484418,53.8558539357773,11.1016387231221,21.8883205456095,44.1518467852257,40.2612919676353
"Census tract","Tract 110.02","55087011002",44.2496081504702,41.7842215256008,14.6638801811216,35.384012539185,64.2578125,40.0679069792755
"Census tract","Tract 119.02","55087011902",71.2722988892629,70.2772635476271,25.3102911477617,32.0893638505554,0,39.7898434870414
"Census tract","Tract 106.01","55087010601",49.1150442477876,60.453539823009,34.3196902654867,37.8871681415929,16.40625,39.6363384955753
"Census tract","Tract 119.01","55087011901",63.5688931913519,59.6623910939012,42.0468296224588,30.1276621490803,0,39.0811552113585
"Census tract","Tract 33","55139003300",66.4518109269491,58.4829650092082,40.5962246777164,29.2155847145488,0,38.9493170656845
"Census tract","Tract 203.04","55015020304",59.9623273336125,46.3391237616855,47.7671096693177,38.4862913352867,0,38.5109704199805
"Census tract","Tract 26.01","55139002601",68.6556434219985,60.6443206326384,36.1093637670741,22.9870596693027,2.41935483870968,38.1631484659447
"Census tract","Tract 26.02","55139002602",74.0801219246679,54.4048007838015,32.1338177661659,23.7426518615284,3.57142857142857,37.5865641815185
"Census tract","Tract 203.03","55015020303",50.9651600753295,49.5409604519773,45.458156779661,35.1297669491525,0,36.2188088512241
"Census tract","Tract 21","55139002100",74.5262390670553,60.0127551020408,11.5646258503401,18.002915451895,15.5737704918033,35.9360611926269
"Census tract","Tract 117","55087011700",72.5500345065563,67.4301242236025,15.6314699792961,20.1604554865424,0,35.1544168391995
"Census tract","Tract 11","55139001100",64.9421128798842,48.757838880849,27.916968162084,33.6039254703329,0,35.04416907863
"Census tract","Tract 110.01","55087011001",43.5810810810811,40.8744270586376,45.7518373636795,42.9439307728781,0,34.6302552552553
"Census tract","Tract 112","55087011200",48.1271456596371,55.0606915154487,29.528874448259,38.5023295733203,0,34.243808239333
"Census tract","Tract 118","55087011800",90.6646751306951,67.041635548917,0,11.034353995519,0,33.7481329350262
"Census tract","Tract 16","55139001600",68.9569700575055,48.3368034899862,23.8548483045806,22.7394408090422,0,32.7776125322229
"Census tract","Tract 17","55139001700",61.5194782302133,37.3722016569716,12.3479640401904,28.5364886303543,23.2323232323232,32.6016911580106
"Census tract","Tract 9","55139000900",63.807531380753,56.3023012552303,13.3891213389121,26.6344142259414,0,32.0266736401674
"Census tract","Tract 132","55087013200",65.4519669503022,47.5752250585769,9.9149093599704,9.59119496855346,25.8650519031142,31.6796696481034
"Census tract","Tract 28","55139002800",49.5783083441982,49.4730551933941,24.6523250760539,16.3135593220339,13.8888888888889,30.7812273649138
"Census tract","Tract 2","55139000200",49.7672872340426,42.9521276595745,14.2730496453901,28.4906914893617,0,27.0966312056738
"Census tract","Tract 4","55139000400",47.8838582677166,45.505249343832,19.2475940507437,20.8005249343832,1.0752688172043,26.902499082776
"Census tract","Tract 202","55015020200",45.5717373404693,48.3892548373817,22.0529710443255,16.889666529436,0,26.5807259503225
"Census tract","Tract 9400","55087940000",50.1526896875735,35.9672304439747,19.5442800093963,15.169133192389,0,24.1666666666667
"Census tract","Tract 7","55139000700",48.3658256880734,23.1651376146789,0,5.96330275229358,NA,19.3735665137615
"City or town","Sherwood, WI","5573525",84.4720496894411,92.6796805678793,80.0798580301686,71.5933578400304,38.3272058823529,73.4304304019745
"City or town","New Holstein, WI","5556800",94.4171505136222,82.358195623046,44.0584524341223,41.62293434569,100,72.4913465832961
"City or town","Harrison, WI","5532790",88.2373192563691,80.83543722745,72.1669153086986,65.8603560772484,40.906362545018,69.6012780829568
"City or town","Butte des Morts, WI","5511500",100,95.7983193277311,58.2224556489262,38.8305322128851,46.5894868585732,67.8881588096231
"City or town","Winneconne, WI","5587900",87.4371859296481,87.716359575656,63.571328866555,46.9674762702401,39.1509433962264,64.9686588076651
"City or town","Stockbridge, WI","5577400",72.4637681159421,84.7826086956522,57.3369565217391,21.0144927536232,75.3086419753086,62.181293612453
"City or town","Combined Locks, WI","5516500",100,85.7142857142857,37.1909340659341,42.8571428571429,34.5389507154213,60.0602626705568
"City or town","Neenah, WI","5555750",74.9901316969893,75.4279255032834,62.1768130763986,49.4610560878458,37.5448028673835,59.9201458463801
"City or town","Wrightstown, WI","5589150",75.9036144578314,73.1174698795181,63.9307228915663,67.039586919105,17.9012345679012,59.5785257431844
"City or town","Forest Junction, WI","5526575",76.525821596244,80.0469483568075,26.2470657276995,23.1220657276995,77.7777777777778,56.7439358372457
"City or town","Hortonville, WI","5535850",83.5309617918309,76.0649978041282,41.832729468599,33.1384497145367,47.7272727272727,56.4588823012735
"City or town","Appleton, WI","5502375",60.859901850054,69.8029157667388,61.0418276629613,51.8607633276625,38.2008709853021,56.3532559185437
"City or town","Potter, WI","5564675",86.7724867724871,84.1269841269841,23.2804232804233,4.1005291005291,81.4814814814815,55.952380952381
"City or town","Dale, WI","5518500",100,93.5064935064935,59.4426406926407,23.1601731601732,0,55.2218614718615
"City or town","Kaukauna, WI","5538800",71.1577840500303,68.7894321766563,42.9701768221816,36.1136476838785,49.2194827817232,53.650104702894
"City or town","Chilton, WI","5514475",73.8831615120277,71.4561855670103,24.5131729667812,18.6426116838488,78.956228956229,53.4902721371794
"City or town","Fox Crossing, WI","5526982",65.0391581008321,71.420704845815,53.2488986784141,47.2444016152717,30.3733031674208,53.4652932815507
"City or town","Winchester, WI","5587625",88.7387387387388,92.1171171171172,50.6006006006006,33.1644144144144,0,52.9241741741742
"City or town","Black Creek, WI","5507725",90.8536585365855,78.0487804878049,15.8536585365854,6.70731707317073,71.3942307692308,52.5715290806755
"City or town","Menasha, WI","5550825",65.3560186692716,70.1766525561706,48.3230218169977,31.9221141322045,39.2568477772788,51.0069309903847
"City or town","Kimberly, WI","5539650",74.8565466875327,71.8945618153365,32.5435250391236,35.4411189358373,32.3944832170156,49.4260471389691
"City or town","Omro, WI","5559875",73.9226375908618,77.6090342679128,58.1256490134995,37.2541861370716,0,49.3823014018692
"City or town","Nichols, WI","5557375",74.7422680412371,33.8058419243986,0,0,100,41.7096219931272
"City or town","Oshkosh, WI","5560500",67.9937466205891,62.949461645156,34.5112049509838,36.4334285445612,2.29922279792746,40.8374129118435
"City or town","Little Chute, WI","5544950",72.0263758559474,68.5249175754502,28.9508305858483,33.5356961704286,0,40.6075640375349
"City or town","Eureka, WI","5524475",100,24.2424242424242,36.8371212121212,31.6287878787879,0,38.5416666666667
"City or town","Seymour, WI","5572725",67.7421407661956,49.7947689958,39.5033886979763,30.6199885452463,0,37.5320574010437
"City or town","Waukau, WI","5584200",100,85.1851851851852,0,0,0,37.037037037037
"City or town","Brothertown, WI","5510325",60.185185185185,71.5277777777778,11.1111111111111,12.5,0,31.0648148148148
"City or town","Bear Creek, WI","5505575",100,51.9021739130435,1.26811594202898,0,0,30.6340579710145
"City or town","Brillion, WI","5509725",67.7018202028624,42.6896623593164,7.25302209253857,24.4997915798249,0,28.4288592469084
"City or town","New London, WI","5556925",49.3958164094233,34.8666395884105,0,16.7343623070674,38.2607956477389,27.851522790528
"City or town","Kiel, WI","5539525",46.7769258202567,42.1778411792677,15.7156443176415,19.4008559201141,10.546875,26.923628447456
"City or town","Hilbert, WI","5534575",39.5166898470097,41.1393138618452,28.2814673157163,7.336578581363,0,23.2548099211868
"City or town","Shiocton, WI","5573625",50.8274231678487,29.1371158392435,0,0,36.0294117647059,23.1987901543596
"County","Outagamie County, WI","55087",67.0309605312312,73.4578342875876,51.6530930035756,43.7244600394916,43.7225996049525,55.9177894933677
"County","Calumet County, WI","55015",69.8621638999827,73.4946817181515,53.2749092111102,44.58526910642,34.1300671211881,55.0694182113705
"County","Winnebago County, WI","55139",71.4938197596415,71.9571593731268,49.2985676971825,42.2534683565984,22.4133403361345,51.4832711045367
"Zip code","54942","54942",100,94.8196986,76.64155005,64.8123942857143,67.66852440625,80.7884334683929
"Zip code","54169","54169",84.2837897500001,92.5909295,79.83834755,70.469561875,38.3272058823529,73.1019669114706
"Zip code","54913","54913",86.3809697499999,89.0139822,74.0069457083333,69.4713222142857,37.4934929705882,71.2733425686414
"Zip code","54313","54313",74.9840685,86.8830985,71.109331125,62.5519669107143,46.4626391029412,68.3982208277311
"Zip code","54904","54904",91.9944415,81.7231587,65.0528417291667,60.4400251964286,25.40708325,64.923510075119
"Zip code","54986","54986",88.598936,82.3916899,50.8123258125,42.917088921875,53.4414556875,63.632299264375
"Zip code","54944","54944",90.3220812499999,84.43790645,45.37685815625,37.082881703125,54.76002109375,62.395949730625
"Zip code","54911","54911",61.2191146666666,71.3641988125,60.2437285,48.436102328125,62.20798465625,60.6942257927083
"Zip code","54115","54115",70.2181633333333,81.4307458,69.5934804583333,56.3165905714286,25.3597436029412,60.5837447532073
"Zip code","54927","54927",100,91.95710455,35.76575065625,28.099865953125,46.5894868529412,60.4824416024632
"Zip code","54956","54956",72.1012344999999,77.8634052,62.4272643541667,54.3437468035714,35.3691760294118,60.42096537743
"Zip code","54113","54113",100,85.7142857,37.1909340625,42.857142859375,34.5389507205882,60.0602626684927
"Zip code","54180","54180",76.01918475,73.276378875,63.7340127916667,67.0777663571429,17.901234575,59.6017154697619
"Zip code","54155","54155",73.33401125,70.786302625,62.2995898541667,63.1787675357143,27.6014015735294,59.4400145676821
"Zip code","54915","54915",65.5847153333333,75.668458,62.7651989791667,53.566836375,32.2342445882353,57.9638906551471
"Zip code","54914","54914",53.2920690833334,63.228642375,51.6589768541667,42.80086609375,74.72904625,57.14192013125
"Zip code","53020","53020",67.9593373333333,82.8689759,43.26054215625,41.931005265625,47.875817,56.7791355310417
"Zip code","54160","54160",86.7724867500002,84.12698415,23.2804232833333,4.1005291,81.4814814833333,55.9523809533334
"Zip code","54931","54931",100,89.54703835,75.95818815,11.58536585,0,55.41811847
"Zip code","54130","54130",73.4548090000001,75.56682885,42.76354953125,36.55334403125,48.67781975,55.4032702325
"Zip code","53061","53061",65.97222225,73.183936375,27.62129934375,35.425233,73.57954546875,55.1564472875
"Zip code","53049","53049",65.2896485833333,84.04558405,45.254629625,32.21153846875,39.7058823529412,53.3014566160049
"Zip code","54964","54964",100,91.6286149,20.3450025333333,25.1426940625,28.4602076176471,53.1153038226961
"Zip code","54947","54947",92.3733984999998,81.08602805,48.93799571875,39.223611953125,1.282051275,52.580617099375
"Zip code","54902","54902",72.3044835833334,69.4371191875,36.00189184375,36.101192421875,40.0574173823529,50.7804208837623
"Zip code","54940","54940",87.0189369999999,73.22464875,36.95975871875,34.793066578125,19.44444445,50.288171099375
"Zip code","54971","54971",65.50041575,60.956577375,23.7888932666667,34.36638440625,66.8154761875,50.2855493970833
"Zip code","54980","54980",100,100,0,0,NA,50
"Zip code","54923","54923",69.4577863333334,55.917787375,21.89668055,23.871277625,78.3258594944444,49.8938782755556
"Zip code","54963","54963",79.3429077500001,76.78536295,49.12145878125,36.355252796875,0,48.320996455625
"Zip code","54952","54952",68.9104270833333,64.1462083125,45.98699275,33.290952171875,28.2947605294118,48.125868169424
"Zip code","53014","53014",74.0247464999999,72.094646875,24.8439021666667,19.42344045,39.7058823529412,46.0185236689216
"Zip code","53088","53088",51.8018018333334,58.9527026875,18.0180180166667,16.8918919,77.7777777777778,44.6884384430556
"Zip code","54136","54136",74.3093155833333,72.149625125,29.67903996875,37.1889316875,9.602649,44.5859122729167
"Zip code","54107","54107",50.365583,60.470524875,15.85063325,18.184488825,63.38141025,41.65052804
"Zip code","54165","54165",71.6300564166667,67.989287,34.52579221875,30.80099928125,0,40.9892269833333
"Zip code","54129","54129",56.5609326666666,78.64985765,42.2262606875,22.885319225,0,40.0644740458333
"Zip code","54152","54152",73.4714004166667,25.862919125,0,0,100,39.8668639083333
"Zip code","54979","54979",95.9579627499998,91.91592565,10.6709781666667,0,0,39.7089733133333
"Zip code","54140","54140",74.4079495833333,66.866744,20.3855765833333,25.15619421875,0,37.3632928770833
"Zip code","54110","54110",56.18001175,46.2437905,12.2253094166667,26.349772671875,37.9925756764706,35.7982920030025
"Zip code","54901","54901",62.22282975,55.476581,25.80588209375,31.50258565625,0,35.0015757
"Zip code","54106","54106",65.1647286666667,70.639534875,19.5736434166667,9.15697675,10,34.9069767416667
"Zip code","54123","54123",67.5105485,62.73734175,6.11814346666667,1.898734175,NA,34.5661919729167
"Zip code","54170","54170",56.4107436666667,54.70115925,8.65323705,20.039908775,32.6064908676471,34.4823079218627
"Zip code","54961","54961",60.1758625,50.7475835625,8.09169016666666,19.829842925,31.5359477058824,34.0761853720098
"Zip code","53042","53042",49.05533759375,50.2413276875,22.465414,23.472021475,20.987654325,33.24435101625
"Zip code","54922","54922",72.89055975,44.68462825,3.50877193333333,5.388471175,38.4271099705882,32.9799082157843
"Zip code","54929","54929",63.8050748333333,45.699315875,12.72272425,16.9666105,0,27.8387450916667
"Zip code","54985","54985",49.639423078125,0,0,0,NA,12.4098557695312
"County","Outagamie County, WI","55087",67.0309605312312,73.4578342875876,51.6530930035756,43.7244600394916,43.7225996049525,55.9177894933677
"County","Calumet County, WI","55015",69.8621638999827,73.4946817181515,53.2749092111102,44.58526910642,34.1300671211881,55.0694182113705
"Region counties","Tri-County","fox-valley",69.2361461220424,72.8413177053073,50.9802694385421,43.2243820582698,34.1304026606588,54.0825035969641
"County","Winnebago County, WI","55139",71.4938197596415,71.9571593731268,49.2985676971825,42.2534683565984,22.4133403361345,51.4832711045367
